Code,Name,Description,Alternate Code,Label List,Enable Inventory,Unit Of Measure,Barcode,Manufacturer Code,Brand,Is Manual Order Approval Needed,Height,Width,Length,Weight,Is Archived,Internal Notes,External Notes,Tax Code,Cost Price,Sell Price Ex Tax,Sell Price Inc Tax,Minimum Stock Quantity,Override Sales GL Account Code,Override Purchase GL Account Code,Is Auto Archive When No Stock Enabled,Is Excluded From Order Consolidation,BoM Weight Calculated From Components,Photo Identifier
"PR1117","Women's Regenerative Organic Certified® Cotton Tank Wispy Green-L","Women's Regenerative Organic Certified® Cotton Tank

Condition: New Brand

The perfect go-to tank top made of 100% Regenerative Organic Certified® cotton jersey knit for everyday wear and layering.

Features:
Soft 100% Regenerative Organic Certified® Cotton
Scoop-Neck Tank
Classic Fit
Length Details
High hip-length
Country Of Origin
Made in Peru.

Material:
4.7-oz 100% Regenerative Organic Certified® cotton jersey
Care Instructions: Machine Wash Warm, Do Not Bleach, Tumble Dry Low, Warm Iron",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,112.17,129.00,0.0000,,,N,N,,SL993.jpg;SL993_2.jpg;SL993_3.jpg
"PR1118","Women's Regenerative Organic Certified® Cotton Tank Wispy Green-XL","Women's Regenerative Organic Certified® Cotton Tank

Condition: New Brand

The perfect go-to tank top made of 100% Regenerative Organic Certified® cotton jersey knit for everyday wear and layering.

Features:
Soft 100% Regenerative Organic Certified® Cotton
Scoop-Neck Tank
Classic Fit
Length Details
High hip-length
Country Of Origin
Made in Peru.

Material:
4.7-oz 100% Regenerative Organic Certified® cotton jersey
Care Instructions: Machine Wash Warm, Do Not Bleach, Tumble Dry Low, Warm Iron",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,112.17,129.00,0.0000,,,N,N,,SL993.jpg;SL993_2.jpg;SL993_3.jpg
"PR1119","Patagonia Women's Unity Fitz Easy-Cut Responsibili-Tee®","Patagonia Women's Unity Fitz Easy-Cut Responsibili-Tee®

Condition: New Brand

The artwork for our Unity Fitz styles has a stylized Earth and the message ""we're all on this together,"" plus the gist of our purpose statement ""save our home planet."" It's printed on a T-shirt built with 100% recycled fabric that reduces our reliance on virgin raw materials. Made in a Fair Trade Certified™ factory.

Features
100% Recycled Fabric
Versatile Crewneck
Boxy Tee
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Mexico.

Material:
5.4-oz 50% recycled cotton/50% postconsumer recycled polyester jersey
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Cold, Do Not Bleach, Tumble Dry Low, Cool Iron","SL994",,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,0.00,0.00,0.0000,,,N,N,,SL994.jpg;SL994_2.jpg;SL994_3.jpg;SL994_4.jpg
"PR1120","Women's Unity Fitz Easy-Cut Responsibili-Tee® Birch White-M","Women's Unity Fitz Easy-Cut Responsibili-Tee®

Condition: New Brand

The artwork for our Unity Fitz styles has a stylized Earth and the message ""we're all on this together,"" plus the gist of our purpose statement ""save our home planet."" It's printed on a T-shirt built with 100% recycled fabric that reduces our reliance on virgin raw materials. Made in a Fair Trade Certified™ factory.

Features
100% Recycled Fabric
Versatile Crewneck
Boxy Tee
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Mexico.

Material:
5.4-oz 50% recycled cotton/50% postconsumer recycled polyester jersey
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Cold, Do Not Bleach, Tumble Dry Low, Cool Iron",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,112.17,129.00,0.0000,,,N,N,,SL994.jpg;SL994_2.jpg;SL994_3.jpg;SL994_4.jpg
"PR1121","Women's Unity Fitz Easy-Cut Responsibili-Tee® Birch White-L","Women's Unity Fitz Easy-Cut Responsibili-Tee®

Condition: New Brand

The artwork for our Unity Fitz styles has a stylized Earth and the message ""we're all on this together,"" plus the gist of our purpose statement ""save our home planet."" It's printed on a T-shirt built with 100% recycled fabric that reduces our reliance on virgin raw materials. Made in a Fair Trade Certified™ factory.

Features
100% Recycled Fabric
Versatile Crewneck
Boxy Tee
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Mexico.

Material:
5.4-oz 50% recycled cotton/50% postconsumer recycled polyester jersey
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Cold, Do Not Bleach, Tumble Dry Low, Cool Iron",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,112.17,129.00,0.0000,,,N,N,,SL994.jpg;SL994_2.jpg;SL994_3.jpg;SL994_4.jpg
"PR1122","Women's Unity Fitz Easy-Cut Responsibili-Tee® Birch White-SL","Women's Unity Fitz Easy-Cut Responsibili-Tee®

Condition: New Brand

The artwork for our Unity Fitz styles has a stylized Earth and the message ""we're all on this together,"" plus the gist of our purpose statement ""save our home planet."" It's printed on a T-shirt built with 100% recycled fabric that reduces our reliance on virgin raw materials. Made in a Fair Trade Certified™ factory.

Features
100% Recycled Fabric
Versatile Crewneck
Boxy Tee
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Mexico.

Material:
5.4-oz 50% recycled cotton/50% postconsumer recycled polyester jersey
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Cold, Do Not Bleach, Tumble Dry Low, Cool Iron",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,112.17,129.00,0.0000,,,N,N,,SL994.jpg;SL994_2.jpg;SL994_3.jpg;SL994_4.jpg
"PR1123","Women's Unity Fitz Easy-Cut Responsibili-Tee® Ink Black-S","Women's Unity Fitz Easy-Cut Responsibili-Tee®

Condition: New Brand

The artwork for our Unity Fitz styles has a stylized Earth and the message ""we're all on this together,"" plus the gist of our purpose statement ""save our home planet."" It's printed on a T-shirt built with 100% recycled fabric that reduces our reliance on virgin raw materials. Made in a Fair Trade Certified™ factory.

Features
100% Recycled Fabric
Versatile Crewneck
Boxy Tee
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Mexico.

Material:
5.4-oz 50% recycled cotton/50% postconsumer recycled polyester jersey
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Cold, Do Not Bleach, Tumble Dry Low, Cool Iron",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,112.17,129.00,0.0000,,,N,N,,SL994_5.jpg;SL994_6.jpg;SL994_7.jpg;SL994_8.jpg
"PR1124","Women's Unity Fitz Easy-Cut Responsibili-Tee® Ink Black-M","Women's Unity Fitz Easy-Cut Responsibili-Tee®

Condition: New Brand

The artwork for our Unity Fitz styles has a stylized Earth and the message ""we're all on this together,"" plus the gist of our purpose statement ""save our home planet."" It's printed on a T-shirt built with 100% recycled fabric that reduces our reliance on virgin raw materials. Made in a Fair Trade Certified™ factory.

Features
100% Recycled Fabric
Versatile Crewneck
Boxy Tee
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Mexico.

Material:
5.4-oz 50% recycled cotton/50% postconsumer recycled polyester jersey
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Cold, Do Not Bleach, Tumble Dry Low, Cool Iron",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,112.17,129.00,0.0000,,,N,N,,SL994_5.jpg;SL994_6.jpg;SL994_7.jpg;SL994_8.jpg
"PR1125","Women's Unity Fitz Easy-Cut Responsibili-Tee® Ink Black-L","Women's Unity Fitz Easy-Cut Responsibili-Tee®

Condition: New Brand

The artwork for our Unity Fitz styles has a stylized Earth and the message ""we're all on this together,"" plus the gist of our purpose statement ""save our home planet."" It's printed on a T-shirt built with 100% recycled fabric that reduces our reliance on virgin raw materials. Made in a Fair Trade Certified™ factory.

Features
100% Recycled Fabric
Versatile Crewneck
Boxy Tee
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Mexico.

Material:
5.4-oz 50% recycled cotton/50% postconsumer recycled polyester jersey
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Cold, Do Not Bleach, Tumble Dry Low, Cool Iron",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,112.17,129.00,0.0000,,,N,N,,SL994_5.jpg;SL994_6.jpg;SL994_7.jpg;SL994_8.jpg
"PR1126","Women's Unity Fitz Easy-Cut Responsibili-Tee® Ink Black-SL","Women's Unity Fitz Easy-Cut Responsibili-Tee®

Condition: New Brand

The artwork for our Unity Fitz styles has a stylized Earth and the message ""we're all on this together,"" plus the gist of our purpose statement ""save our home planet."" It's printed on a T-shirt built with 100% recycled fabric that reduces our reliance on virgin raw materials. Made in a Fair Trade Certified™ factory.

Features
100% Recycled Fabric
Versatile Crewneck
Boxy Tee
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Mexico.

Material:
5.4-oz 50% recycled cotton/50% postconsumer recycled polyester jersey
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Cold, Do Not Bleach, Tumble Dry Low, Cool Iron",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,112.17,129.00,0.0000,,,N,N,,SL994_5.jpg;SL994_6.jpg;SL994_7.jpg;SL994_8.jpg
"PR1127","Patagonia Women's Capilene® Cool Trail Cropped Tank","Patagonia Women's Capilene® Cool Trail Cropped Tank

Condition: New Brand

Stretchy, quick-drying, moisture-wicking tech top that will keep you comfortable when you’re working hard. Built using Naia® Renew, the fabric has an ultrasoft, cotton-like, natural feel to give you a versatile look and all-day performance. Made in a Fair Trade Certified™ factory.

Features:
Relaxed Fit
Model is 175cm wearing a size small.
Ultracomfortable, Quick-to-Wick Fabric
Cropped Tank Silhouette
Locker Loop
Tagless Design
Woven Patagonia Logo
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Vietnam.

Material:
3.8-oz 70% recycled polyester/30% Naia® Renew (a blend of renewable wood pulp and postconsumer plastics) spun jersey with natural anti-odor control and miDori™ bioSoft for added wicking and softness
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Warm, Do Not Bleach, Tumble Dry Low, Cool Iron, Do Not Use Fabric Softeners","SL995",,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,0.00,0.00,0.0000,,,N,N,,SL995.jpg;SL995_4.jpg;SL995_2.jpg;SL995_3.jpg
"PR1128","Women's Capilene® Cool Trail Cropped Tank Wispy Green-S","Women's Capilene® Cool Trail Cropped Tank

Condition: New Brand

Stretchy, quick-drying, moisture-wicking tech top that will keep you comfortable when you’re working hard. Built using Naia® Renew, the fabric has an ultrasoft, cotton-like, natural feel to give you a versatile look and all-day performance. Made in a Fair Trade Certified™ factory.

Features:
Relaxed Fit
Model is 175cm wearing a size small.
Ultracomfortable, Quick-to-Wick Fabric
Cropped Tank Silhouette
Locker Loop
Tagless Design
Woven Patagonia Logo
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Vietnam.

Material:
3.8-oz 70% recycled polyester/30% Naia® Renew (a blend of renewable wood pulp and postconsumer plastics) spun jersey with natural anti-odor control and miDori™ bioSoft for added wicking and softness
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Warm, Do Not Bleach, Tumble Dry Low, Cool Iron, Do Not Use Fabric Softeners",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,100.00,115.00,0.0000,,,N,N,,SL995.jpg;SL995_2.jpg;SL995_3.jpg;SL995_4.jpg
"PR1129","Women's Capilene® Cool Trail Cropped Tank Wispy Green-M","Women's Capilene® Cool Trail Cropped Tank

Condition: New Brand

Stretchy, quick-drying, moisture-wicking tech top that will keep you comfortable when you’re working hard. Built using Naia® Renew, the fabric has an ultrasoft, cotton-like, natural feel to give you a versatile look and all-day performance. Made in a Fair Trade Certified™ factory.

Features:
Relaxed Fit
Model is 175cm wearing a size small.
Ultracomfortable, Quick-to-Wick Fabric
Cropped Tank Silhouette
Locker Loop
Tagless Design
Woven Patagonia Logo
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Vietnam.

Material:
3.8-oz 70% recycled polyester/30% Naia® Renew (a blend of renewable wood pulp and postconsumer plastics) spun jersey with natural anti-odor control and miDori™ bioSoft for added wicking and softness
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Warm, Do Not Bleach, Tumble Dry Low, Cool Iron, Do Not Use Fabric Softeners",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,100.00,115.00,0.0000,,,,,,SL995.jpg;SL995_2.jpg;SL995_3.jpg;SL995_4.jpg
"PR1130","Women's Capilene® Cool Trail Cropped Tank Wispy Green-L","Women's Capilene® Cool Trail Cropped Tank

Condition: New Brand

Stretchy, quick-drying, moisture-wicking tech top that will keep you comfortable when you’re working hard. Built using Naia® Renew, the fabric has an ultrasoft, cotton-like, natural feel to give you a versatile look and all-day performance. Made in a Fair Trade Certified™ factory.

Features:
Relaxed Fit
Model is 175cm wearing a size small.
Ultracomfortable, Quick-to-Wick Fabric
Cropped Tank Silhouette
Locker Loop
Tagless Design
Woven Patagonia Logo
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Vietnam.

Material:
3.8-oz 70% recycled polyester/30% Naia® Renew (a blend of renewable wood pulp and postconsumer plastics) spun jersey with natural anti-odor control and miDori™ bioSoft for added wicking and softness
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Warm, Do Not Bleach, Tumble Dry Low, Cool Iron, Do Not Use Fabric Softeners",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,100.00,115.00,0.0000,,,N,N,,SL995.jpg;SL995_2.jpg;SL995_3.jpg;SL995_4.jpg
"PR1131","Women's Capilene® Cool Trail Cropped Tank Wispy Green-XL","Women's Capilene® Cool Trail Cropped Tank

Condition: New Brand

Stretchy, quick-drying, moisture-wicking tech top that will keep you comfortable when you’re working hard. Built using Naia® Renew, the fabric has an ultrasoft, cotton-like, natural feel to give you a versatile look and all-day performance. Made in a Fair Trade Certified™ factory.

Features:
Relaxed Fit
Model is 175cm wearing a size small.
Ultracomfortable, Quick-to-Wick Fabric
Cropped Tank Silhouette
Locker Loop
Tagless Design
Woven Patagonia Logo
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Vietnam.

Material:
3.8-oz 70% recycled polyester/30% Naia® Renew (a blend of renewable wood pulp and postconsumer plastics) spun jersey with natural anti-odor control and miDori™ bioSoft for added wicking and softness
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Warm, Do Not Bleach, Tumble Dry Low, Cool Iron, Do Not Use Fabric Softeners",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,100.00,115.00,0.0000,,,N,N,,SL995.jpg;SL995_2.jpg;SL995_3.jpg;SL995_4.jpg
"PR1132","Women's Capilene® Cool Trail Cropped Tank Milkweed Mauve-XS","Women's Capilene® Cool Trail Cropped Tank

Condition: New Brand

Stretchy, quick-drying, moisture-wicking tech top that will keep you comfortable when you’re working hard. Built using Naia® Renew, the fabric has an ultrasoft, cotton-like, natural feel to give you a versatile look and all-day performance. Made in a Fair Trade Certified™ factory.

Features:
Relaxed Fit
Model is 175cm wearing a size small.
Ultracomfortable, Quick-to-Wick Fabric
Cropped Tank Silhouette
Locker Loop
Tagless Design
Woven Patagonia Logo
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Vietnam.

Material:
3.8-oz 70% recycled polyester/30% Naia® Renew (a blend of renewable wood pulp and postconsumer plastics) spun jersey with natural anti-odor control and miDori™ bioSoft for added wicking and softness
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Warm, Do Not Bleach, Tumble Dry Low, Cool Iron, Do Not Use Fabric Softeners",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,100.00,115.00,0.0000,,,N,N,,SL995_5.jpg;SL995_6.jpg;SL995_7.jpg
"PR1133","Women's Capilene® Cool Trail Cropped Tank Milkweed Mauve-S","Women's Capilene® Cool Trail Cropped Tank

Condition: New Brand

Stretchy, quick-drying, moisture-wicking tech top that will keep you comfortable when you’re working hard. Built using Naia® Renew, the fabric has an ultrasoft, cotton-like, natural feel to give you a versatile look and all-day performance. Made in a Fair Trade Certified™ factory.

Features:
Relaxed Fit
Model is 175cm wearing a size small.
Ultracomfortable, Quick-to-Wick Fabric
Cropped Tank Silhouette
Locker Loop
Tagless Design
Woven Patagonia Logo
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Vietnam.

Material:
3.8-oz 70% recycled polyester/30% Naia® Renew (a blend of renewable wood pulp and postconsumer plastics) spun jersey with natural anti-odor control and miDori™ bioSoft for added wicking and softness
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Warm, Do Not Bleach, Tumble Dry Low, Cool Iron, Do Not Use Fabric Softeners",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,100.00,115.00,0.0000,,,N,N,,SL995_5.jpg;SL995_6.jpg;SL995_7.jpg
"PR1134","Women's Capilene® Cool Trail Cropped Tank Milkweed Mauve-M","Women's Capilene® Cool Trail Cropped Tank

Condition: New Brand

Stretchy, quick-drying, moisture-wicking tech top that will keep you comfortable when you’re working hard. Built using Naia® Renew, the fabric has an ultrasoft, cotton-like, natural feel to give you a versatile look and all-day performance. Made in a Fair Trade Certified™ factory.

Features:
Relaxed Fit
Model is 175cm wearing a size small.
Ultracomfortable, Quick-to-Wick Fabric
Cropped Tank Silhouette
Locker Loop
Tagless Design
Woven Patagonia Logo
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Vietnam.

Material:
3.8-oz 70% recycled polyester/30% Naia® Renew (a blend of renewable wood pulp and postconsumer plastics) spun jersey with natural anti-odor control and miDori™ bioSoft for added wicking and softness
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Warm, Do Not Bleach, Tumble Dry Low, Cool Iron, Do Not Use Fabric Softeners",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,100.00,115.00,0.0000,,,N,N,,SL995_5.jpg;SL995_6.jpg;SL995_7.jpg
"PR1135","Women's Capilene® Cool Trail Cropped Tank Milkweed Mauve-L","Women's Capilene® Cool Trail Cropped Tank

Condition: New Brand

Stretchy, quick-drying, moisture-wicking tech top that will keep you comfortable when you’re working hard. Built using Naia® Renew, the fabric has an ultrasoft, cotton-like, natural feel to give you a versatile look and all-day performance. Made in a Fair Trade Certified™ factory.

Features:
Relaxed Fit
Model is 175cm wearing a size small.
Ultracomfortable, Quick-to-Wick Fabric
Cropped Tank Silhouette
Locker Loop
Tagless Design
Woven Patagonia Logo
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Vietnam.

Material:
3.8-oz 70% recycled polyester/30% Naia® Renew (a blend of renewable wood pulp and postconsumer plastics) spun jersey with natural anti-odor control and miDori™ bioSoft for added wicking and softness
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Warm, Do Not Bleach, Tumble Dry Low, Cool Iron, Do Not Use Fabric Softeners",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,100.00,115.00,0.0000,,,N,N,,SL995_5.jpg;SL995_6.jpg;SL995_7.jpg
"PR1136","Women's Capilene® Cool Trail Cropped Tank Milkweed Mauve-XL","Women's Capilene® Cool Trail Cropped Tank

Condition: New Brand

Stretchy, quick-drying, moisture-wicking tech top that will keep you comfortable when you’re working hard. Built using Naia® Renew, the fabric has an ultrasoft, cotton-like, natural feel to give you a versatile look and all-day performance. Made in a Fair Trade Certified™ factory.

Features:
Relaxed Fit
Model is 175cm wearing a size small.
Ultracomfortable, Quick-to-Wick Fabric
Cropped Tank Silhouette
Locker Loop
Tagless Design
Woven Patagonia Logo
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Vietnam.

Material:
3.8-oz 70% recycled polyester/30% Naia® Renew (a blend of renewable wood pulp and postconsumer plastics) spun jersey with natural anti-odor control and miDori™ bioSoft for added wicking and softness
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Warm, Do Not Bleach, Tumble Dry Low, Cool Iron, Do Not Use Fabric Softeners",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,100.00,115.00,0.0000,,,N,N,,SL995_5.jpg;SL995_6.jpg;SL995_7.jpg
"PR1137","Patagonia Women's Short-Sleeved Capilene® Cool Trail Cropped Shirt","Patagonia Women's Short-Sleeved Capilene® Cool Trail Cropped Shirt

Condition: New Brand

Stretchy, quick-drying, moisture-wicking tech top that will keep you comfortable when you’re working hard. Built using Naia® Renew, the fabric has an ultrasoft, cotton-like, natural feel to give you a versatile look and all-day performance. Made in a Fair Trade Certified™ factory.

Features:
Ultracomfortable, Quick-to-Wick Fabric
Raglan Sleeve Construction
A locker loop makes it easy to hang dry
Tagless Design
Woven Patagonia Logo
Resists Odors
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Vietnam.

Material:
3.8-oz 70% recycled polyester/30% Naia® Renew (a blend of renewable wood pulp and postconsumer plastics) spun jersey with natural anti-odor control and miDori™ bioSoft for added wicking and softness
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Cold, Do Not Bleach, Tumble Dry Low, Cool Iron","SL996",,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,0.00,0.00,0.0000,,,N,N,,SL996.jpg;SL996_2.jpg;SL996_3.jpg
"PR1138","Women's Short-Sleeved Capilene® Cool Trail Cropped Shirt Milkweed Mauve-S","Women's Short-Sleeved Capilene® Cool Trail Cropped Shirt

Condition: New Brand

Stretchy, quick-drying, moisture-wicking tech top that will keep you comfortable when you’re working hard. Built using Naia® Renew, the fabric has an ultrasoft, cotton-like, natural feel to give you a versatile look and all-day performance. Made in a Fair Trade Certified™ factory.

Features:
Ultracomfortable, Quick-to-Wick Fabric
Raglan Sleeve Construction
A locker loop makes it easy to hang dry
Tagless Design
Woven Patagonia Logo
Resists Odors
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Vietnam.

Material:
3.8-oz 70% recycled polyester/30% Naia® Renew (a blend of renewable wood pulp and postconsumer plastics) spun jersey with natural anti-odor control and miDori™ bioSoft for added wicking and softness
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Cold, Do Not Bleach, Tumble Dry Low, Cool Iron",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,112.17,129.00,0.0000,,,N,N,,SL996.jpg;SL996_2.jpg;SL996_3.jpg
"PR1139","Women's Short-Sleeved Capilene® Cool Trail Cropped Shirt Milkweed Mauve-M","Women's Short-Sleeved Capilene® Cool Trail Cropped Shirt

Condition: New Brand

Stretchy, quick-drying, moisture-wicking tech top that will keep you comfortable when you’re working hard. Built using Naia® Renew, the fabric has an ultrasoft, cotton-like, natural feel to give you a versatile look and all-day performance. Made in a Fair Trade Certified™ factory.

Features:
Ultracomfortable, Quick-to-Wick Fabric
Raglan Sleeve Construction
A locker loop makes it easy to hang dry
Tagless Design
Woven Patagonia Logo
Resists Odors
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Vietnam.

Material:
3.8-oz 70% recycled polyester/30% Naia® Renew (a blend of renewable wood pulp and postconsumer plastics) spun jersey with natural anti-odor control and miDori™ bioSoft for added wicking and softness
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Cold, Do Not Bleach, Tumble Dry Low, Cool Iron",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,112.17,129.00,0.0000,,,N,N,,SL996.jpg;SL996_2.jpg;SL996_3.jpg
"PR1140","Women's Short-Sleeved Capilene® Cool Trail Cropped Shirt Milkweed Mauve-L","Women's Short-Sleeved Capilene® Cool Trail Cropped Shirt

Condition: New Brand

Stretchy, quick-drying, moisture-wicking tech top that will keep you comfortable when you’re working hard. Built using Naia® Renew, the fabric has an ultrasoft, cotton-like, natural feel to give you a versatile look and all-day performance. Made in a Fair Trade Certified™ factory.

Features:
Ultracomfortable, Quick-to-Wick Fabric
Raglan Sleeve Construction
A locker loop makes it easy to hang dry
Tagless Design
Woven Patagonia Logo
Resists Odors
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Vietnam.

Material:
3.8-oz 70% recycled polyester/30% Naia® Renew (a blend of renewable wood pulp and postconsumer plastics) spun jersey with natural anti-odor control and miDori™ bioSoft for added wicking and softness
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Cold, Do Not Bleach, Tumble Dry Low, Cool Iron",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,112.17,129.00,0.0000,,,N,N,,SL996.jpg;SL996_2.jpg;SL996_3.jpg
"PR1141","Women's Short-Sleeved Capilene® Cool Trail Cropped Shirt Wispy Green-XS","Women's Short-Sleeved Capilene® Cool Trail Cropped Shirt

Condition: New Brand

Stretchy, quick-drying, moisture-wicking tech top that will keep you comfortable when you’re working hard. Built using Naia® Renew, the fabric has an ultrasoft, cotton-like, natural feel to give you a versatile look and all-day performance. Made in a Fair Trade Certified™ factory.

Features:
Ultracomfortable, Quick-to-Wick Fabric
Raglan Sleeve Construction
A locker loop makes it easy to hang dry
Tagless Design
Woven Patagonia Logo
Resists Odors
Supporting the People Who Made This Product
Made in a Fair Trade Certified™ factory, which means the people who made this product earned a premium for their labor
Country Of Origin
Made in Vietnam.

Material:
3.8-oz 70% recycled polyester/30% Naia® Renew (a blend of renewable wood pulp and postconsumer plastics) spun jersey with natural anti-odor control and miDori™ bioSoft for added wicking and softness
Made in a Fair Trade Certified™ factory
Care Instructions: Machine Wash Cold, Do Not Bleach, Tumble Dry Low, Cool Iron",,,Y,Each,,,"patagonia",N,0.0000,0.0000,0.0000,0.0000,N,,,GST,0.00,112.17,129.00,0.0000,,,N,N,,SL996_4.jpg
